config,windows,level,normalized,richer,quantity,truth,median,lo,hi,width_post,width_prior,contraction,bias_log,covered
E6_joint_constitutive_norm,swe+ceus,constitutive,True,False,C_v,0.0010000000000000002,0.0010000000000000002,0.00010000000000000009,0.009999999999999995,4.605170185988091,4.605170185988091,1.0,0.0,True
E6_joint_constitutive_norm,swe+ceus,constitutive,True,False,A,1.0,1.0000001803675869,0.9090910730614425,1.1000001984043457,0.19062035960864981,0.19062035960864981,1.0,1.8036757061142024e-07,True
E6_joint_constitutive_norm,swe+ceus,constitutive,True,False,t0,4.0,4.006560016156038,3.96874600697568,4.044374025336396,0.07562801836071609,13.499999999999998,0.005602075434127118,0.00656001615603774,True
E6_joint_network_norm,swe+ceus,network,True,False,mu,2999.9999999999977,3009.59880782866,2999.468688553199,3019.7631396021297,0.006743228547841139,2.302585092994047,0.002928546948539883,0.003194494773588019,True
E6_joint_network_norm,swe+ceus,network,True,False,eta_s,1.5,1.4883400336686599,1.4686735402198101,1.5082698742494502,0.02660357544530912,4.605170185988092,0.005776893007397298,-0.007803680552910586,True
E6_joint_network_norm,swe+ceus,network,True,False,phi,0.028000000000000004,0.022052070824595166,0.006651946265255477,0.07310549548377698,2.3969940582318725,2.9957322735539917,0.8001362736557879,-0.23879799774445498,True
E6_joint_network_norm,swe+ceus,network,True,False,k,3.4999999999999997e-13,3.095435605080726e-13,1.5182066475612354e-14,6.311210401161817e-12,6.029967865662025,6.907755278982139,0.8729272567036486,-0.12283432748674628,True
E6_joint_network_norm,swe+ceus,network,True,False,D,1.0000000000000004e-06,1.0014065547380036e-06,9.69014116360524e-07,1.0348818153843474e-06,0.06576333139289973,4.605170185988092,0.014280325967755622,0.001405566466484487,True
E6_joint_network_norm,swe+ceus,network,True,False,vmag,0.0010488088481701513,0.0010501832567453662,0.0010430851774174618,0.0010573296377184632,0.013563681403528658,4.605170185988091,0.0029453159939231252,0.0013095892723224978,True
E6_joint_network_norm,swe+ceus,network,True,False,S_v,2.800000000000001e-05,2.2052070824595163e-05,1.644743172562754e-06,0.00029566550922065433,5.191644533008061,5.493815094879564,0.9449980465936799,-0.23879799774445587,True
E6_joint_network_norm,swe+ceus,network,True,False,C_v,0.0010000000000000002,0.0010000000000000002,0.00010000000000000009,0.009999999999999995,4.605170185988091,4.605170185988091,1.0,0.0,True
E6_joint_network_norm,swe+ceus,network,True,False,A,1.0,0.9999999395815762,0.9090908541650692,1.099999933539734,0.19062035960864981,0.19062035960864981,1.0,-6.041842563562598e-08,True
E6_joint_network_norm,swe+ceus,network,True,False,t0,4.0,4.006560606599573,3.968746556633675,4.044374656565471,0.07562809993179562,13.499999999999998,0.005602081476429305,0.006560606599572694,True
E8_relax_independent,swe+ceus+relax,independent,False,False,mu,2999.9999999999977,3009.5984949807876,2999.4714841115588,3019.7596973233103,0.006741156612948128,2.302585092994047,0.0029276471186489854,0.003194390823557214,True
E8_relax_independent,swe+ceus+relax,independent,False,False,eta_s,1.5,1.488338683224802,1.468688536442707,1.508251736851321,0.026581339399001723,4.605170185988092,0.0057720645112919735,-0.007804587902333515,True
E8_relax_independent,swe+ceus+relax,independent,False,False,phi,0.028000000000000004,0.028040620968050333,0.025409292222289694,0.030944444158272216,0.19707853013697546,2.995732273553991,0.06578642954070495,0.0014496975394919787,True
E8_relax_independent,swe+ceus+relax,independent,False,False,k,3.4999999999999997e-13,3.114483450220015e-13,9.240513735525892e-14,1.0497259610579785e-12,2.4301018434343433,6.907755278982138,0.3517932736888184,-0.11669965658133208,True
E8_relax_independent,swe+ceus+relax,independent,False,False,D,1.0000000000000004e-06,9.949490417768015e-07,9.690316108130575e-07,1.0215596526329918e-06,0.0527885761912961,4.605170185988092,0.011462893673704637,-0.005063757429713434,True
E8_relax_independent,swe+ceus+relax,independent,False,False,vmag,0.0010488088481701513,0.0010475233175608304,0.0010393457100659337,0.0010557652667504036,0.01567448506625272,4.605170185988091,0.0034036711854742415,-0.001226457134491099,True
E8_relax_independent,swe+ceus+relax,independent,False,False,S_v,2.8000000000000023e-05,2.2171691086131723e-05,6.599478171333892e-06,7.448829632532803e-05,2.423651435783105,5.493815094879565,0.44115999427101876,-0.23338821132648135,True
E8_relax_independent,swe+ceus+relax,independent,False,False,M,95999.99999999997,118274.23943204289,35280.98663150515,396496.72667420586,2.419323588997105,6.907755278982138,0.3502329615466045,0.20865779952388408,True
E8_relax_independent,swe+ceus+relax,independent,False,False,A,1.0,1.0009155887952481,0.9100982645378195,1.1007954359764707,0.19023574438378485,0.19062035960864981,0.9979822972443522,0.0009151698994985217,True
E8_relax_independent,swe+ceus+relax,independent,False,False,t0,4.0,3.997432656748277,3.965854357287127,4.029010956209427,0.06315659892229951,13.499999999999998,0.004678266586837001,-0.002567343251723031,True
E8_relax_constitutive,swe+ceus+relax,constitutive,False,False,mu,2999.9999999999977,3009.5930208351215,2999.466011578969,3019.754221616058,0.006741167819540065,2.302585092994047,0.002927651985610025,0.0031925719262346774,True
E8_relax_constitutive,swe+ceus+relax,constitutive,False,False,eta_s,1.5,1.4883213890116096,1.4686715864966289,1.5082340921930344,0.026581181520083614,4.605170185988092,0.005772030228320502,-0.007816207780164952,True
E8_relax_constitutive,swe+ceus+relax,constitutive,False,False,phi,0.028000000000000004,0.02803158998570344,0.025402813506613806,0.03093240191374898,0.19694430425671208,2.995732273553991,0.06574162384112749,0.0011275778202453068,True
E8_relax_constitutive,swe+ceus+relax,constitutive,False,False,k,3.4999999999999997e-13,3.2991957771427164e-13,1.0240656831617201e-13,1.0628901011808855e-12,2.339796133205708,6.907755278982138,0.3387201831432683,-0.059084233619699944,True
E8_relax_constitutive,swe+ceus+relax,constitutive,False,False,D,1.0000000000000004e-06,9.949279378757074e-07,9.690121447455984e-07,1.0215368372142415e-06,0.052786330401786444,4.605170185988092,0.011462406006708857,-0.005084968691827285,True
E8_relax_constitutive,swe+ceus+relax,constitutive,False,False,vmag,0.0010488088481701513,0.0010475225093848262,0.0010393449439768448,0.0010557644158726285,0.015674416219427664,4.605170185988091,0.003403656235576133,-0.0012272286460195403,True
E8_relax_constitutive,swe+ceus+relax,constitutive,False,False,S_v,2.800000000000001e-05,2.3508154760510152e-05,7.332212934834759e-06,7.537060709442564e-05,2.3301400012735303,5.493815094879564,0.42413877442750225,-0.17485713813397474,True
E8_relax_constitutive,swe+ceus+relax,constitutive,False,False,C_v,0.0010000000000000002,0.0008386308009106761,0.00026103923029810314,0.002694237258640862,2.334199718689441,4.605170185988091,0.5068650287434736,-0.17598471595421916,True
E8_relax_constitutive,swe+ceus+relax,constitutive,False,False,M,95999.99999999997,111580.27614013535,34865.134611685855,357094.79289765604,2.326513951251845,6.907755278982138,0.3367973903665358,0.15039610576397244,True
