scenario,configuration,quantity,n_replicates,truth,contraction_median,contraction_min,contraction_max,coverage,absolute_bias_log_median,rank_min,n_par,least_fisher_eigenvalue_median,least_informed_contraction_median
L8_01,E8_relax_constitutive_Cvcal,eta_s,5,0.5,0.004195159022255589,0.003719120549891676,0.004435751785522136,0.8,0.003191978979158905,14,16,5.6550421004313695e-12,0.9999999999971725
L8_01,E8_relax_constitutive_Cvcal,k,5,7.000000000000004e-14,0.12857247280408707,0.1285496685864424,0.12857926577439127,1.0,0.025521626565804922,14,16,5.6550421004313695e-12,0.9999999999971725
L8_01,E8_relax_constitutive_Cvcal,mu,5,1999.9999999999998,0.0013150915089283743,0.0013128534892200186,0.0013183748357889716,0.6,0.0007378922731744453,14,16,5.6550421004313695e-12,0.9999999999971725
L8_01,E8_relax_constitutive_Cvcal,phi,5,0.011999999999999999,0.06414879599140542,0.06414435484510647,0.0641658862165148,1.0,0.012997630524304249,14,16,5.6550421004313695e-12,0.9999999999971725
L8_01,E8_relax_constitutive_Cvcal,vmag,5,0.0004000000000000001,0.002069797669988995,0.002063842683207451,0.0020839945400595275,1.0,0.0009729047042146277,14,16,5.6550421004313695e-12,0.9999999999971725
L8_01,E8_relax_constitutive_Cvcal_norm,C_v,5,0.0004000000000000001,0.9803604404138978,0.9803590168148283,0.9803605890634762,1.0,0.02234070337575389,12,16,0.0,1.0
L8_01,E8_relax_constitutive_Cvcal_norm,D,5,3.0000000000000015e-07,0.009468263365840404,0.009438010311619977,0.00949718182172732,1.0,0.010402134392066387,12,16,0.0,1.0
L8_01,E8_relax_constitutive_Cvcal_norm,S_v,5,4.800000000000001e-06,0.6559923042063773,0.6559611828585137,0.6559955410237274,1.0,0.29520678545862467,12,16,0.0,1.0
L8_01,E8_relax_constitutive_Cvcal_norm,eta_s,5,0.5,0.004195044736526823,0.003719327727880662,0.004435971503768885,0.8,0.0032197503583779596,12,16,0.0,1.0
L8_01,E8_relax_constitutive_Cvcal_norm,k,5,7.000000000000004e-14,0.2970825909674655,0.2970799241931098,0.2970955307079259,1.0,0.2930364958859393,12,16,0.0,1.0
L8_01,E8_relax_constitutive_Cvcal_norm,mu,5,1999.9999999999998,0.0013151060096924826,0.0013128678952114392,0.0013183888608671959,0.6,0.0007360314829405468,12,16,0.0,1.0
L8_01,E8_relax_constitutive_Cvcal_norm,phi,5,0.011999999999999999,0.6849958464913453,0.6849680805144739,0.684998733496195,1.0,0.31754748883438033,12,16,0.0,1.0
L8_01,E8_relax_constitutive_Cvcal_norm,vmag,5,0.0004000000000000001,0.0019771293362350725,0.0019655446897240887,0.0019815594657087766,0.8,0.0026409274594909604,12,16,0.0,1.0
L8_01,E8_relax_independent_matched,D,5,3.0000000000000015e-07,0.006935072798953307,0.006925254972546718,0.006988015983115646,0.8,0.008945621869964171,14,16,1.0630102773591324e-11,0.9999999999946849
L8_01,E8_relax_independent_matched,S_v,5,4.800000000000004e-06,0.6559970982560087,0.65596524424962,0.6560005647630455,1.0,0.027737761075444567,14,16,1.0630102773591324e-11,0.9999999999946849
L8_01,E8_relax_independent_matched,eta_s,5,0.5,0.004195258013579986,0.0037191833069846816,0.00443585687762863,0.8,0.003194705807643805,14,16,1.0630102773591324e-11,0.9999999999946849
L8_01,E8_relax_independent_matched,k,5,7.000000000000004e-14,0.2970846904773019,0.2970825447927114,0.2970972107469167,1.0,0.029210590495452493,14,16,1.0630102773591324e-11,0.9999999999946849
L8_01,E8_relax_independent_matched,mu,5,1999.9999999999998,0.001315099261540969,0.001312861370516971,0.0013183821816838389,0.6,0.0007377086667208488,14,16,1.0630102773591324e-11,0.9999999999946849
L8_01,E8_relax_independent_matched,phi,5,0.011999999999999999,0.06429863465907082,0.0642941435585226,0.06431584902350534,1.0,0.01261690997537368,14,16,1.0630102773591324e-11,0.9999999999946849
L8_01,E8_relax_independent_matched,vmag,5,0.0004000000000000001,0.002069808932741126,0.00206385313893532,0.0020840065840956445,1.0,0.0009725195731489222,14,16,1.0630102773591324e-11,0.9999999999946849
L8_02,E2_ceus,D,5,2.9999999999999997e-06,0.022031896487365848,0.021782484259117142,0.022266483918941166,0.8,0.021121019663160823,6,9,0.0,1.0
L8_02,E2_ceus,S_v,5,2.9999999999999977e-05,1.0,1.0,1.0,1.0,0.2938933324510593,6,9,0.0,1.0
L8_02,E2_ceus,k,5,1.9999999999999983e-12,1.0,1.0,1.0,1.0,1.8444397270569688,6,9,0.0,1.0
L8_02,E2_ceus,phi,5,0.011999999999999999,0.8382994668928087,0.8382991825126723,0.8383035559478156,1.0,0.4345887364727292,6,9,0.0,1.0
L8_02,E2_ceus,vmag,5,0.002999999999999999,0.006096574022066312,0.006028704132631445,0.0061542811262080875,1.0,0.004482352577706905,6,9,0.0,1.0
L8_02,E2_ceus_Acal,D,5,2.9999999999999997e-06,0.022025610824572953,0.021775999614391174,0.022258839773109038,0.8,0.020657333485280205,6,9,0.0,1.0
L8_02,E2_ceus_Acal,S_v,5,2.9999999999999977e-05,1.0,1.0,1.0,1.0,0.2938933324510593,6,9,0.0,1.0
