scenario,configuration,replicate,seed,windows,level,quantity,truth,median,lo,hi,contraction,bias_log,covered,rank,n_par,least_fisher_eigenvalue,least_informed_contraction
reference,E4_joint_constitutive_Cvcal,3,3,swe+ceus,constitutive,eta_s,1.5,1.493647824907875,1.4734297041071094,1.5141433748982214,0.005918789865585015,-0.00424377548529975,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,3,3,swe+ceus,constitutive,phi,0.028000000000000004,0.027751774268974305,0.025147951116127616,0.03062519771569752,0.06577580377750328,-0.00890473440598738,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,3,3,swe+ceus,constitutive,k,3.4999999999999997e-13,3.67606795847335e-13,1.1659027399427401e-14,1.1590568554610395e-11,0.9991474723682365,0.049080722898285245,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,3,3,swe+ceus,constitutive,D,1.0000000000000004e-06,9.884932098521996e-07,9.627011427673253e-07,1.0149762813360074e-06,0.011482203067019543,-0.011573505538002848,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,3,3,swe+ceus,constitutive,vmag,0.0010488088481701513,0.0010465944170772404,0.001038417668041776,0.0010548355517899202,0.0034063449477407673,-0.002113609302822894,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,3,3,swe+ceus,constitutive,S_v,2.800000000000001e-05,2.7751774268974313e-05,1.8284181822926893e-05,4.212170839990143e-05,0.2688943529092961,-0.008904734405987824,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,3,3,swe+ceus,constitutive,C_v,0.0010000000000000002,0.0010000000000000002,0.0006666666666666666,0.0015000000000000007,1.0,0.0,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,4,4,swe+ceus,constitutive,mu,2999.9999999999977,2995.262178569552,2985.150455207231,3005.4081537898246,0.0029372353464759597,-0.001580522177548005,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,4,4,swe+ceus,constitutive,eta_s,1.5,1.4971423596412454,1.4777111148330215,1.5168291166879626,0.0056735583696603505,-0.0019069105713316326,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,4,4,swe+ceus,constitutive,phi,0.028000000000000004,0.02832740140404886,0.025668993513199036,0.031261127160809504,0.06579079120511035,0.011625073517635531,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,4,4,swe+ceus,constitutive,k,3.4999999999999997e-13,2.94794018927008e-13,9.346020468465416e-15,9.298451023979666e-12,0.9992612933693269,-0.17165628295276392,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,4,4,swe+ceus,constitutive,D,1.0000000000000004e-06,9.974907534042056e-07,9.715771949324785e-07,1.0240954690131837e-06,0.011431566130221425,-0.0025124000313034855,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,4,4,swe+ceus,constitutive,vmag,0.0010488088481701513,0.0010397644938045763,0.001031647966274961,0.0010479448784068487,0.0034034565559494783,-0.00866085065699096,False,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,4,4,swe+ceus,constitutive,S_v,2.800000000000001e-05,2.8327401404048867e-05,1.866333327374408e-05,4.2995624550894106e-05,0.2688977691379642,0.011625073517635087,True,12,13,0.0,1.0
reference,E4_joint_constitutive_Cvcal,4,4,swe+ceus,constitutive,C_v,0.0010000000000000002,0.0010000000000000002,0.0006666666666666666,0.0015000000000000007,1.0,0.0,True,12,13,0.0,1.0
reference,E5_joint_network,0,0,swe+ceus,network,mu,2999.9999999999977,3009.5387834892967,2999.4094628712032,3019.7023118864395,0.0029283741755514697,0.003174550275408805,True,12,13,0.0,1.0
reference,E5_joint_network,0,0,swe+ceus,network,eta_s,1.5,1.4881502086431329,1.4684916667866934,1.5080719173098867,0.005775283192775919,-0.007931230123264243,True,12,13,0.0,1.0
